header1,header2,item,
Umwelt,Behavior Change,"Handyspielanbieter überzeugen, (pro-environmental/pro-social) Verhalten in der echten Welt, in der Spielwelt zu belohnen, bspw. Level bei candycrush überspringen wenn man die Heizung runter dreht…",
Umwelt,Behavior Change,"Interaktive Chat/Infoapp für Konsumtradeoffs, welche Option ist umweltfreundlicher: Tomaten in der Dose oder im Tetrapack? worldwatchers.de/ Klimakompass",
Umwelt,Behavior Change,Klimafreundliche Ernährung stärken (weniger tierische Produkte),
Umwelt,Recycling/Nachhaltige Rohstoffe,Beton im Bausektor durch nachhaltigere Resourcen ersetzen (R&D) ,
Umwelt,Recycling/Nachhaltige Rohstoffe,Recycling von Baumaterialien fördern,
Umwelt,Recycling/Nachhaltige Rohstoffe,Kreislaufprinzipien in Industrie & Handel verankern:  Anteil an Mehrwegverpackungen erhöhen (bspw. Bierflaschen),
Umwelt,Recycling/Nachhaltige Rohstoffe,"Kreislaufprinzipien in Industrie & Handel verankern: Eine (brick-and-mortar) Plattform aufbauen, die Mehrwegverpackungen für verschiedene Produkte anbietet und das Pfandsystem selbst verwaltet, d.h. Plattform verkauft saubere Mehrwegverpackung an Produktanbieter und Endverbraucher retourniert Mehrwegverpackung an Plattform, um CO2 einzusparen",
Umwelt,CO2,"In Analogie zu Solarmodulen, (re)greening Module, d.h. Paneele mit Pflanzenbewuchs zur Befestigung an Fassaden und Dächern, entwickeln, anbieten und vermarkten um urbane Lebensräume grüner zu machen und CO2 zu binden.",
Umwelt,CO2,"Emissionen im Gebäudesektor abbauen: Immobilien besser isolieren (reduziert Heiz- bzw Kühlenergie), neue Wohnsysteme mit weniger Flächenverbrauch pro Kopf (https://www.weforum.org/agenda/2021/09/how-to-build-zero-carbon-buildings/ )",
Umwelt,CO2,Abonnements von Smart-home Gadgets zur Energieeffizienz anbieten,
Umwelt,CO2,Algen als Lösung vieler Nachhaltigkeitsprobleme entwickeln & marktfähig machen (https://doi.org/10.1016/bs.abr.2021.01.003 ),
